"Reference","Value","Datasheet","Footprint","Qty","DNP"
"BT2","2x 9V","~","Connector_Wire:SolderWire-0.25sqmm_1x02_P4.2mm_D0.65mm_OD1.7mm","1",""
"C1,C2,C3,C4","10000uF/16V","~","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","4",""
"C5,C7,C8","470u/25V","~","Capacitor_SMD:CP_Elec_10x10.5","3",""
"C6","220p","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C9,C11,C13","100nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","3",""
"C10,C12","330nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"D1,D2,D3,D5,D10","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_SMD:D_SMA_Handsoldering","5",""
"D4,D7","BZX83V013","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D6","SR360","~","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","1",""
"D8","POWER_ON","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"D9","TOO_HUMID","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J6","INTERCOM1","~","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","1",""
"J7","POWER_OUT","~","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3mm","1",""
"J8","PWR_IN","~","Connector_Wire:SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm","1",""
"J9","PWR_IN_BAT","~","Connector_Wire:SolderWire-1.5sqmm_1x02_P6mm_D1.7mm_OD3mm","1",""
"J10","FAN_AUTO","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1",""
"J11","ISP","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1",""
"K1,K2,K3,K4","G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf","Relay_THT:Relay_SPDT_Omron-G5LE-1","4",""
"L1","DPO-3.0-68","~","Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5","1",""
"PS1","LRS-35-12","https://www.tracopower.com/products/tmlm.pdf","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","1",""
"Q1","IRF4905","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Q2","BUZ11","https://media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/BUZ11.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Q3,Q4","IRLZ34N","http://www.infineon.com/dgdl/irlz34npbf.pdf?fileId=5546d462533600a40153567206892720","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"R1,R5","4k7","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R2","Kantal 30mm/0.8mm","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3","560R","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R4","2k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"R6,R7","330R","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R8","1k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1",""
"RV1","PT10VK005","~","Potentiometer_THT:Potentiometer_Piher_PT-10-V10_Vertical","1",""
"SW5","SW_PWR_ON","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"U1","MC34063AP","http://www.onsemi.com/pub_link/Collateral/MC34063A-D.PDF","Package_DIP:DIP-8_W7.62mm","1",""
"U2","L7812","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","ATtiny85-20P","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U5","DHT11","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","1",""
"U6","4N25","https://www.vishay.com/docs/83725/4n25.pdf","Package_DIP:DIP-6_W7.62mm","1",""
